0-咪咕频道📺,#genre#
CCTV-1 综合,http://148.135.93.213:81/live.php?id=CCTV1
CCTV-2 财经,http://148.135.93.213:81/live.php?id=CCTV2
CCTV-3 综艺,http://148.135.93.213:81/live.php?id=CCTV3
CCTV-4 中文国际,http://148.135.93.213:81/live.php?id=CCTV4
CCTV-5 体育,http://148.135.93.213:81/live.php?id=CCTV5
CCTV-5+ 体育赛事,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV-6 电影,http://148.135.93.213:81/live.php?id=CCTV6
CCTV-7 国防军事,http://148.135.93.213:81/live.php?id=CCTV7
CCTV-8 电视剧,http://148.135.93.213:81/live.php?id=CCTV8
CCTV-9 纪录,http://148.135.93.213:81/live.php?id=CCTV9
CCTV-10 科教,http://148.135.93.213:81/live.php?id=CCTV10
CCTV-11 戏曲,http://148.135.93.213:81/live.php?id=CCTV11
CCTV-12 社会与法,http://148.135.93.213:81/live.php?id=CCTV12
CCTV-13 新闻,http://148.135.93.213:81/live.php?id=CCTV13
CCTV-14 少儿,http://148.135.93.213:81/live.php?id=CCTV14
CCTV-15 音乐,http://148.135.93.213:81/live.php?id=CCTV15
CCTV-16 奥林匹克,http://148.135.93.213:81/live.php?id=CCTV16
CCTV-17 农业农村,http://148.135.93.213:81/live.php?id=CCTV17
重温经典,http://148.135.93.213:81/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213:81/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213:81/live.php?id=CHC动作电影
凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk

1-央视频道📺,#genre#


//范明明可回放源
CCTV-1,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPpqgHe3PQ5GNQoO-yUgA8C%2CEND

CCTV-2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-2,http://219.135.180.210:18888/hls/2/index.m3u8
CCTV-2,http://58.243.224.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8
CCTV-2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2,http://1752e145z8.vicp.fun:35455/gaoma/cctv2.m3u8
CCTV-2,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV-2,http://148.135.93.213:81/live.php?id=CCTV2


CCTV-3,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E_6GNVcVOz9Xub8CclyMRUg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOIR_8g_qYRqpV5wTQqRILi%2CEND
CCTV-4,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0wP1dRMt9qCzHdvA65wh1w%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMcuN2HH7RLPyPHWOUWhSMk%2CEND
