📺 央视频道,#genre#

CCTV-1,rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil?playseek
CCTV-2,rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV-3,rtsp://150.138.8.132/PLTV/88888888/224/3221227134/415322505.smil
CCTV-1,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-1,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-4,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-13,http://iptv.4666888.xyz/iptv2A.php?id=11
中国电影,http://iptv.4666888.xyz/iptv2A.php?id=61
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
千禧经典台,http://iptv.4666888.xyz/iptv2A.php?id=22
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=28
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
TVBS新闻台,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
民视综艺台,http://iptv.4666888.xyz/iptv2A.php?id=46
靖天电影台,http://iptv.4666888.xyz/iptv2A.php?id=56
靖洋戏剧台,http://iptv.4666888.xyz/iptv2A.php?id=42
龙华洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
金光布袋戏,http://iptv.4666888.xyz/iptv2A.php?id=38
智林体育,http://iptv.4666888.xyz/iptv2A.php?id=5
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
ASTRO,http://iptv.4666888.xyz/iptv2A.php?id=4
日本体育,http://iptv.4666888.xyz/iptv2A.php?id=6
RHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
My TV,http://iptv.4666888.xyz/iptv2A.php?id=24
TVB看不清。,http://iptv.4666888.xyz/iptv2A.php?id=31
My TV,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB娱乐新闻台。,http://iptv.4666888.xyz/iptv2A.php?id=36
华艺中文台,http://iptv.4666888.xyz/iptv2A.php?id=37
未知卡通台,http://iptv.4666888.xyz/iptv2A.php?id=39
澳门人澳门事,http://iptv.4666888.xyz/iptv2A.php?id=41
MOM亲子台,http://iptv.4666888.xyz/iptv2A.php?id=49
tvb不知道,http://iptv.4666888.xyz/iptv2A.php?id=57
电影不知道。,http://iptv.4666888.xyz/iptv2A.php?id=59
Tennis,http://iptv.4666888.xyz/iptv2A.php?id=62
华语台,http://iptv.4666888.xyz/iptv2A.php?id=63
不知道二,http://iptv.4666888.xyz/iptv2A.php?id=64
不知道三,http://iptv.4666888.xyz/iptv2A.php?id=65
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=66
不知道体育2,http://iptv.4666888.xyz/iptv2A.php?id=68
不知道体育3,http://iptv.4666888.xyz/iptv2A.php?id=69
不知道体育三,http://iptv.4666888.xyz/iptv2A.php?id=70
不知道体育色。,http://iptv.4666888.xyz/iptv2A.php?id=71
不知道体育舞。,http://iptv.4666888.xyz/iptv2A.php?id=72
不知道体育6,http://iptv.4666888.xyz/iptv2A.php?id=73
不知道体育机,http://iptv.4666888.xyz/iptv2A.php?id=74
不知道体育吧。,http://iptv.4666888.xyz/iptv2A.php?id=75
不知道体育9。,http://iptv.4666888.xyz/iptv2A.php?id=76
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=77
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=78
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=80
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=81
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=82
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=83
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=84
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=85
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=86
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=87
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=88
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=89
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=90
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=91
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=92
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=94
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=95
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=96
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=97
不知道体育,http://iptv.4666888.xyz/iptv2A.php?id=98
