📺 央视频道,#genre#

CCTV-1,rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil?playseek
CCTV-2,rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV-3,rtsp://150.138.8.132/PLTV/88888888/224/3221227134/415322505.smil
CCTV-4,rtsp://150.138.8.132/PLTV/88888888/224/3221226179/10000100000000060000000003110724_0.smil
CCTV-4美洲,rtsp://150.138.8.132/PLTV/88888888/224/3221227105/409210218.smil
CCTV-4欧洲,rtsp://150.138.8.132/PLTV/88888888/224/3221227070/409210222.smil
CCTV-5,rtsp://150.138.8.132/PLTV/88888888/224/3221227138/415322482.smil
CCTV-5+,rtsp://150.138.8.132/PLTV/88888888/224/3221226143/10000100000000060000000003071273_0.smil
CCTV-6,rtsp://150.138.8.132/PLTV/88888888/224/3221227213/432747447.smil
CCTV-7,rtsp://150.138.8.132/PLTV/88888888/224/3221226175/10000100000000060000000003110716_0.smil
CCTV-8,rtsp://150.138.8.132/PLTV/88888888/224/3221227031/410248915.smil
CCTV-9,rtsp://150.138.8.132/PLTV/88888888/224/3221226177/10000100000000060000000003110720_0.smil
CCTV-10,rtsp://150.138.8.132/PLTV/88888888/224/3221226181/10000100000000060000000003110727_0.smil
CCTV-11,rtsp://150.138.8.132/PLTV/88888888/224/3221226826/395256095.smil
CCTV-12,rtsp://150.138.8.132/PLTV/88888888/224/3221226183/10000100000000060000000003110728_0.smil
CCTV-13,rtsp://150.138.8.132/PLTV/88888888/224/3221226767/395256391.smil
CCTV-14,rtsp://150.138.8.132/PLTV/88888888/224/3221226185/10000100000000060000000003110729_0.smil
CCTV-15,rtsp://150.138.8.132/PLTV/88888888/224/3221226736/395256223.smil
CCTV-17,rtsp://150.138.8.132/PLTV/88888888/224/3221226366/10000100000000060000000003766311_0.smil
// 以上是山东电信回放源 

CCTV-1,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8
CCTV-1,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8 
CCTV-1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8 
CCTV-2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8 
CCTV-3,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8 
CCTV-3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8 
CCTV-4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8 
CCTV-4美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8 
CCTV-4欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8 
CCTV-5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8 
CCTV-5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8 
CCTV-6,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8 
