央视频道,#genre#

CCTV-1,rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil?playseek
CCTV-2,rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
2,http://iptv.4666888.xyz/iptv2A.php?id=2
4,http://iptv.4666888.xyz/iptv2A.php?id=4
5,http://iptv.4666888.xyz/iptv2A.php?id=5
6,http://iptv.4666888.xyz/iptv2A.php?id=6
7,http://iptv.4666888.xyz/iptv2A.php?id=7
8,http://iptv.4666888.xyz/iptv2A.php?id=8
9,http://iptv.4666888.xyz/iptv2A.php?id=9
10,http://iptv.4666888.xyz/iptv2A.php?id=10
11,http://iptv.4666888.xyz/iptv2A.php?id=11
12,http://iptv.4666888.xyz/iptv2A.php?id=12
13,http://iptv.4666888.xyz/iptv2A.php?id=13
14,http://iptv.4666888.xyz/iptv2A.php?id=14
15,http://iptv.4666888.xyz/iptv2A.php?id=15
16,http://iptv.4666888.xyz/iptv2A.php?id=16
17,http://iptv.4666888.xyz/iptv2A.php?id=17
18,http://iptv.4666888.xyz/iptv2A.php?id=18
22,http://iptv.4666888.xyz/iptv2A.php?id=22
23,http://iptv.4666888.xyz/iptv2A.php?id=23
24,http://iptv.4666888.xyz/iptv2A.php?id=24
26,http://iptv.4666888.xyz/iptv2A.php?id=26
27,http://iptv.4666888.xyz/iptv2A.php?id=27
28,http://iptv.4666888.xyz/iptv2A.php?id=28
30,http://iptv.4666888.xyz/iptv2A.php?id=30
31,http://iptv.4666888.xyz/iptv2A.php?id=31
32,http://iptv.4666888.xyz/iptv2A.php?id=32
35,http://iptv.4666888.xyz/iptv2A.php?id=35
36,http://iptv.4666888.xyz/iptv2A.php?id=36
37,http://iptv.4666888.xyz/iptv2A.php?id=37
38,http://iptv.4666888.xyz/iptv2A.php?id=38
39,http://iptv.4666888.xyz/iptv2A.php?id=39
41,http://iptv.4666888.xyz/iptv2A.php?id=41
42,http://iptv.4666888.xyz/iptv2A.php?id=42
43,http://iptv.4666888.xyz/iptv2A.php?id=43
44,http://iptv.4666888.xyz/iptv2A.php?id=44
46,http://iptv.4666888.xyz/iptv2A.php?id=46
48,http://iptv.4666888.xyz/iptv2A.php?id=48
49,http://iptv.4666888.xyz/iptv2A.php?id=49
51,http://iptv.4666888.xyz/iptv2A.php?id=51
52,http://iptv.4666888.xyz/iptv2A.php?id=52
55,http://iptv.4666888.xyz/iptv2A.php?id=55
56,http://iptv.4666888.xyz/iptv2A.php?id=56
57,http://iptv.4666888.xyz/iptv2A.php?id=57
59,http://iptv.4666888.xyz/iptv2A.php?id=59
60,http://iptv.4666888.xyz/iptv2A.php?id=60
61,http://iptv.4666888.xyz/iptv2A.php?id=61
62,http://iptv.4666888.xyz/iptv2A.php?id=62
63,http://iptv.4666888.xyz/iptv2A.php?id=63
64,http://iptv.4666888.xyz/iptv2A.php?id=64
65,http://iptv.4666888.xyz/iptv2A.php?id=65
66,http://iptv.4666888.xyz/iptv2A.php?id=66
68,http://iptv.4666888.xyz/iptv2A.php?id=68
69,http://iptv.4666888.xyz/iptv2A.php?id=69
70,http://iptv.4666888.xyz/iptv2A.php?id=70
71,http://iptv.4666888.xyz/iptv2A.php?id=71
72,http://iptv.4666888.xyz/iptv2A.php?id=72
73,http://iptv.4666888.xyz/iptv2A.php?id=73
74,http://iptv.4666888.xyz/iptv2A.php?id=74
75,http://iptv.4666888.xyz/iptv2A.php?id=75
76,http://iptv.4666888.xyz/iptv2A.php?id=76
77,http://iptv.4666888.xyz/iptv2A.php?id=77
78,http://iptv.4666888.xyz/iptv2A.php?id=78
80,http://iptv.4666888.xyz/iptv2A.php?id=80
81,http://iptv.4666888.xyz/iptv2A.php?id=81
82,http://iptv.4666888.xyz/iptv2A.php?id=82
83,http://iptv.4666888.xyz/iptv2A.php?id=83
84,http://iptv.4666888.xyz/iptv2A.php?id=84
85,http://iptv.4666888.xyz/iptv2A.php?id=85
86,http://iptv.4666888.xyz/iptv2A.php?id=86
87,http://iptv.4666888.xyz/iptv2A.php?id=87
88,http://iptv.4666888.xyz/iptv2A.php?id=88
89,http://iptv.4666888.xyz/iptv2A.php?id=89
90,http://iptv.4666888.xyz/iptv2A.php?id=90
91,http://iptv.4666888.xyz/iptv2A.php?id=91
92,http://iptv.4666888.xyz/iptv2A.php?id=92
94,http://iptv.4666888.xyz/iptv2A.php?id=94
95,http://iptv.4666888.xyz/iptv2A.php?id=95
96,http://iptv.4666888.xyz/iptv2A.php?id=96
97,http://iptv.4666888.xyz/iptv2A.php?id=97
98,http://iptv.4666888.xyz/iptv2A.php?id=98
