📺 央视频道,#genre#
CCTV-1 综合,http://192.168.123.1:20231/rtp/239.21.1.120:5002?fcc=150.138.8.132:8027
CCTV-2 财经,http://192.168.123.1:20231/rtp/239.21.1.151:5002?fcc=150.138.8.132:8027
CCTV-3 综艺,http://192.168.123.1:20231/rtp/239.21.2.45:5002?fcc=150.138.8.132:8027
CCTV-4 中文,http://192.168.123.1:20231/rtp/239.21.1.154:5002?fcc=150.138.8.132:8027
CCTV-5 体育,http://192.168.123.1:20231/rtp/239.21.2.46:5002?fcc=150.138.8.132:8027
CCTV-5+ 体育赛事,http://192.168.123.1:20231/rtp/239.21.1.142:5002?fcc=150.138.8.132:8027
CCTV-6 电影,http://192.168.123.1:20231/rtp/239.21.2.47:5002?fcc=150.138.8.132:8027
CCTV-7 国防军事,http://192.168.123.1:20231/rtp/239.21.1.152:5002?fcc=150.138.8.132:8027
CCTV-8 电视剧,http://192.168.123.1:20231/rtp/239.21.2.48:5002?fcc=150.138.8.132:8027
CCTV-9 纪录,http://192.168.123.1:20231/rtp/239.21.1.153:5002?fcc=150.138.8.132:8027
CCTV-10 科教,http://192.168.123.1:20231/rtp/239.21.1.155:5002?fcc=150.138.8.132:8027
CCTV-12 社会与法,http://192.168.123.1:20231/rtp/239.21.1.156:5002?fcc=150.138.8.132:8027
CCTV-14 少儿,http://192.168.123.1:20231/rtp/239.21.1.157:5002?fcc=150.138.8.132:8027
CCTV-16 奥林匹克,http://192.168.123.1:20231/rtp/239.21.2.110:5002?fcc=150.138.8.132:8027
CCTV-17 农业农村,http://192.168.123.1:20231/rtp/239.21.1.186:5002?fcc=150.138.8.132:8027

⭐ 卫视频道,#genre#
湖南卫视,http://192.168.123.1:20231/rtp/239.21.1.158:5002?fcc=150.138.8.132:8027
浙江卫视,http://192.168.123.1:20231/rtp/239.21.1.90:5002?fcc=150.138.8.132:8027
江苏卫视,http://192.168.123.1:20231/rtp/239.21.1.89:5002?fcc=150.138.8.132:8027
东方卫视,http://192.168.123.1:20231/rtp/239.21.1.111:5002?fcc=150.138.8.132:8027
北京卫视,http://192.168.123.1:20231/rtp/239.21.1.88:5002?fcc=150.138.8.132:8027
安徽卫视,http://192.168.123.1:20231/rtp/239.21.1.159:5002?fcc=150.138.8.132:8027
山东卫视,http://192.168.123.1:20231/rtp/239.21.1.87:5002?fcc=150.138.8.132:8027
山东卫视,http://192.168.123.1:20231/rtp/239.21.2.158:5002?fcc=150.138.8.132:8027
天津卫视,http://192.168.123.1:20231/rtp/239.21.1.165:5002?fcc=150.138.8.132:8027
辽宁卫视,http://192.168.123.1:20231/rtp/239.21.1.164:5002?fcc=150.138.8.132:8027
深圳卫视,http://192.168.123.1:20231/rtp/239.21.1.93:5002?fcc=150.138.8.132:8027
湖北卫视,http://192.168.123.1:20231/rtp/239.21.1.163:5002?fcc=150.138.8.132:8027
广东卫视,http://192.168.123.1:20231/rtp/239.21.1.92:5002?fcc=150.138.8.132:8027
东南卫视,http://192.168.123.1:20231/rtp/239.21.1.113:5002?fcc=150.138.8.132:8027
黑龙江卫视,http://192.168.123.1:20231/rtp/239.21.1.91:5002?fcc=150.138.8.132:8027
重庆卫视,http://192.168.123.1:20231/rtp/239.21.1.233:5002?fcc=150.138.8.132:8027
四川卫视,http://192.168.123.1:20231/rtp/239.21.2.15:5002?fcc=150.138.8.132:8027
江西卫视,http://192.168.123.1:20231/rtp/239.21.1.167:5002?fcc=150.138.8.132:8027
河南卫视,http://192.168.123.1:20231/rtp/239.21.2.37:5002?fcc=150.138.8.132:8027
河北卫视,http://192.168.123.1:20231/rtp/239.21.1.168:5002?fcc=150.138.8.132:8027
贵州卫视,http://192.168.123.1:20231/rtp/239.21.1.166:5002?fcc=150.138.8.132:8027
海南卫视,http://192.168.123.1:20231/rtp/239.21.2.14:5002?fcc=150.138.8.132:8027
广西卫视,http://192.168.123.1:20231/rtp/239.21.2.87:5002?fcc=150.138.8.132:8027
山西卫视,http://192.168.123.1:20231/rtp/239.21.1.33:5002?fcc=150.138.8.132:8027
吉林卫视,http://192.168.123.1:20231/rtp/239.21.2.49:5002?fcc=150.138.8.132:8027
云南卫视,http://192.168.123.1:20231/rtp/239.21.2.86:5002?fcc=150.138.8.132:8027
陕西卫视,http://192.168.123.1:20231/rtp/239.21.2.193:5002?fcc=150.138.8.132:8027
陕西卫视,http://192.168.123.1:20231/rtp/239.21.1.30:5002?fcc=150.138.8.132:8027
内蒙古卫视,http://192.168.123.1:20231/rtp/239.21.2.194:5002?fcc=150.138.8.132:8027
内蒙古卫视,http://192.168.123.1:20231/rtp/239.21.1.41:5002?fcc=150.138.8.132:8027
宁夏卫视,http://192.168.123.1:20231/rtp/239.21.2.189:5002?fcc=150.138.8.132:8027
宁夏卫视,http://192.168.123.1:20231/rtp/239.21.1.44:5002?fcc=150.138.8.132:8027
新疆卫视,http://192.168.123.1:20231/rtp/239.21.2.187:5002?fcc=150.138.8.132:8027
新疆卫视,http://192.168.123.1:20231/rtp/239.21.1.45:5002?fcc=150.138.8.132:8027
甘肃卫视,http://192.168.123.1:20231/rtp/239.21.2.22:5002?fcc=150.138.8.132:8027
